id,title,text,comment_id,grade,is_new,is_quailfied,feedback_type,is_finance,subcategory_type,created_at,updated_at
11,"Новогодний подарок от банка ""Промсвязьбанк""","Всегда с интересом отношусь к рекомендациям моего любимого банка ПСБ. В ноябре месяце (не запамятовала число) мне позвонили из банка ПСБ и менеджер Юлия очень подробно рассказала о выгодных вкладах в банке ""Промсвязьбанк"". Особенно порадовал новогодний вклад ""Мой подарок"" под 20,5% на 4 месяца.На тот момент я, конечно, задумывалась о вкладе, но хотела подкопить побольше денег для вклада. В декабря я рещила открыть вклад ""Мой подарок"", для чего сначала проштудировала все предложения моего банка - зашла в чат техподдержки банка и досконально изучила вклады. Какое же было моё удивление, что вклад ""Мой подарок"" теперь под 22% годовых. Вклад открыла 08 декабря и очень этому рада. Спасибо моему банку ПСБ за такой новогодний подарок🎁.",11983668,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
432,Благодарность менеджеру ,"Добрый День, мне зовут Савельев Роман, хочу оставить отзыв за хорошее обслуживание. Обратился в отделение Промсвязьбанка города Керчь, Советская 20 04.12.2024 год, за открытием вклада ""Сильная ставка"" в связи с тем, что мне понравились условия, так же открыл кредитную карту "" Сто +"". Екатерина очень подробно все рассказала, про карту, о тарифах, условия использования ипо комиссии. Обслуживание очень понравилось, специалист компетентный, вежливый, оформление заняло всего 15 минут, все оперативно и очень быстро, прекрасное обслуживание, буду рекомендовать этототделение банка и специалиста своим друзьям, родственникам и знакомым.",11966657,5,f,t,2,t,0,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
421,Служба доставки банка худшая из всех,"05.12.2024 Заказал дебетовую карту ""твой кэшбэк"" на сайте банка, выбрал дату и время из доступного и удобную мне (06.12.2024), прислали смс (ирония) ""все хорошо, ожидайте звонка со службы доставки для потверждения на указанную вами дату"".... Через пару часов непонятная смс с номером и текстом - выберите дату доставки.... И ближайшая дата через 5 дней(10.12.2024), следующая на (16.12.2024), по выходным нет доставки. На указанном номере доставки авответчик, дозвонится не возможно. Первый банк на моей практике, где после того как ты выбрал дату, при оформлении на сайте, ее переносят на 5 дней минимум. Звонок на горячую линию банка результата не дал, составили какую то заявку службе доставки, служба доставки не связывается со мной... ",11970301,1,t,f,,,,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
1,Помощь сотрудника по вопросу по вопросу обмена валюты,"Добрый день. За последнее время очень сильно меняется курс валют. Хотелось бы быстро реагировать на их изменение. Чтобы сориентироваться, где это делается в приложении обратился в чат приложения банка 18 декабря 2024 в 16:30. Консультант Мария, вежливо поздоровалась со мной, назвав меня по имени и уточнила, что конкретно меня интересует. Я ответил Марии, что мне интересен обмен - рубли на доллары и наоборот. Сотрудница отметила, что для, перевода требуется вначале открыть валютный счет, далее перейти в мой банк, далее курсы валют и их обмен, выбрав валютный счёт. Выбираем счет, открываем его и совершаем покупку. При этом комиссия не взимается отметила консультант. Выражаю благодарность за помощь в решении моего вопроса. Сам бы я не разобрался.",12017822,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
6,Предоставили подробности в чате,"Я слышала, что за пополнение металлического счёта можно получить подарок. За подробностями этой акции обратилась в чат 8 декабря в 15:26. Полина рассказала об условиях акции: нужно совершить покупку золота на сумму не менее 50 000 рублей в рамках металлического счёта, иметь действующую дебетовую карту в банке на момент выплаты вознаграждения на бонусный счёт и предоставить согласие на участие в акции на официальном сайте банка или в чате через направление в него кодового слова ""золотой подарок"" с целью дальнейшего подтверждения согласия на участие в акции. Оператор пояснила, что при неоднократной покупке золота в течение акции учитывается общая сумма покупки на дату её окончания. Я спросила о сроках проведения акции и Полина написала, что она проводится до 15 декабря. После этой даты - в течение 10 рабочих дней производится выплата вознаграждения на бонусный счёт до 31 декабря. В качестве подарка за участие в акции банк начислит бонусные баллы, например 1000 баллов за покупку золота на сумму от 50 000 до 99 999 рублей. Я благодарю Полину за предоставленные подробности этой акции.",11994543,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
4,Оформление счета,"Добрый день! 12 декабря обращался в офис ПСБ по адресу г. Пенза ул. Суворова 145а по вопросу размещения вклада. Менеджер банка подробно рассказала про действующие условия вкладов и накопительных счетов. Подобрали наиболее выгодное размещение исходя из моих потребностей накопительный счет "" Про запас"". Менеджер помог с установкой мобильного приложения для удобства осуществления переводов и платежей. Обслуживание в ПСБ понравилось. ",12001980,5,f,t,2,f,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
9,Быстро решили вопрос,"Увидела информацию в интернете, что появился вклад ""Мой подарок"",зашла на сайт банка,потом в мобильное приложение, но информации не нашла и обратилась в официальное сообщество в соцсети с вопросом по данному вкладу и так же с вопросом, есть ли возможность его открыть,если уже открыт ""Акцент на процент "". Буквально сразу,мне ответил сотрудник банка в 22:41( 09 декабря 2024), который пояснил,что данный вклад открывается в рамках акции "" Проведи новый год с ПСБ"" и при наличии открытого накопительного счёта, его можно открыть и ещё можно получить до 3000 рублей. Так же,сотрудник скинул прямую ссылку на вклад,перейдя по ней,я подробно ознакомилась с условиями. Выражаю благодарность специалисту за помощь. ",11987831,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
5,Благодарность управляющему офиса,"    Добрый день!               Хочу выразить искреннюю благодарность сотруднику Р-вой Марии Б. - управляющему ДО «Победа» в г. Самара по адресу ул. Победы, д. 92 за ее компетентность, доброжелательность, за неравнодушие и умение работать с клиентами.    12.11.2024г я письменно обратилась в ПСБ с вопросом о том, почему условия открытого мной вклада в Договоре различаются с условиями этого же вклада в мобильном банке. Клиентский отдел Приволжского филиала ПАС ПСБ, куда были направлены мои письменные запросы, ограничился формальными отписками – цитатой из условий, предусмотренных Договором, но не объясняющих конкретную ситуацию.      Мария Б. – единственный сотрудник, который досконально разобрался в интересующем меня вопросе, поняв его суть. Именно она нашла в документах ПСБ объяснение данной ситуации.      Спасибо Вам, Мария Б.!",11998447,5,f,t,2,f,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
600,Оформление карты твой кэш и обновление мб,"Оформила карту твой кэш и обновила приложение в банке. Находилась в офисе на Гагарина д 6 Мариуполь. Общалась с менеджером по работе с клиентами Ниной. По оформлению у нас заняло где-то 5-7 минут. Менеджер попросила паспорт. Сотрудник подсказывала как мне обновить приложение, для этого нужен был ру стор который скачали через сайт банка и потом обновили само приложение псб. Карту оформили быстро и качественно, рассказали про систему лояльности и её тарифы. В магазинах 25% сейчас. ",11910151,5,f,t,2,t,0,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
7,"Понятные условия по продуктам промсвязьбанка, удобство в обслуживании. Спасибо сотрудникам банка в г.Зеленодольск","<ul><li> Шел после работы вечером 01.11.24  г., обратился в офис Промсвязьбанка в г. Зеленодольск  по ул. Ленина д.35 за консультацией по вкладам и накопительным счетам ( была небольшая сумма , хотел положить ее под проценты) . Сразу хочу  отметить удобный режим работы банка с 10 до 19 часов, так как ненужно отпрашиваться с работы, чтоб посетить банк ( не все банки работают до 19 ч.).Сотрудница банка, если мне не изменяет память- И-ва Анастасия,  меня подробно проконсультировала по актуальным ставкам и на мою сумму предложила открыть накопительный счёт ""про запас""  на 2 месяца, так как на момент визита это была самая выгодная  для меня ставка 22%. Но у  меня с собой был только кнопочный телефон, (на заводе нельзя использовать смартфон) , сотрудник  рассказала как можно самостоятельно в мобильном приложении банка открыть этот счет дома. Что я собственно и сделал. Данный счёт универсальный, с ежемесячным начислением процентов+ пополнением. за месяц уже накопилось 1.5 тыс руб, еще пополнил в конце месяца счет , на декабрь месяц так же действует повышенная ставка , потому что только первые два месяца действует такой процент.  Спасибо банку  за внимательное отношение к клиентам, все́ четко и понятно разъясняют . Если что, буду заходить в офис банка почаще . </li></ul>",11993930,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
465,Положительный отзыв,"Я Дуроманжи Марина Степановна обратилась в отделения банка по консультации Накопительного счета.Менеджер Оксана рассказала условия и преимущества даного продукта.По времени заняло 15мин.Обслуживанием всегда довольна.Специалист всегда компетентен по всем  вопросам.Отношение в отделении всегда приветливое.Очень рада обслуживаться. Офис ""До На Центральной 68"" пгтАкимовка  ул.Центральная 68",11949331,5,f,t,2,f,0,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
472,Плохой Самый Банк (ПСБ),"14.10.24 заказал дебетовую карту для участия в акции. Доставку назначили на 24.10 (900 км от Москвы областной центр на восток) везёт Финдоставка. Доставку перенёс на 28,карту получил установил приложение жду смс или push. 29 смс нет звоню в поддержку-говорят ждите. Пытаюсь сам войти в приложение по номеру карты- не пускает. 30.10 и 02.11 звонки в поддержку, что не могу войти в приложение, прошу составить обращение. Один оператор что-то интенсивно жевал. 05.11 карта не активна, еду в доп офис Кировский. Объясняю ситуацию, заново подписываю заявление- появляется доступ в приложение, а номера карты нет. Пишу в чат, предлагает в третий!!! раз составить обращение, предыдущих нет, всё валит на курьерскую службу. Через некоторое время номер карты появляется, пробую пополнить по СБП из нескольких банков,перевод отклоняет ПСБ. Поддержка предлагает ехать в местный офис с паспортом, где я уже был. Каким-то чудом всё заработало, карту активировал всего через 17 дней после заявки. В ноябре банк поменял условия акции, оператор утверждает, что попадаю под эти условия, посмотрим. Оценка не относится к сотруднику доп офиса Кировский, т. к я не знаю её возможностей. ",11946773,1,f,t,1,f,3,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
401,Узнал алгоритм действий,"По вопросу оформления заявки на зарплатную карту и условиях, необходимых для этого я обратился в чат 28 сентября в 15:36. Оператор Полина сначала сообщила о невозможности оформить заявку на зарплатную карту, так как она делается через работодателя. Самостоятельно я могу оформить дебетовую карту и направить номер счёта работодателю для зачисления. Я спросил о возможности оформить отдельную зарплатную карту ПСБ в индивидуальном порядке и Полина написала алгоритм необходимых действий: сначала нужно будет заказать новую карту в приложении через раздел ""Открыть новый продукт"" на главном экране, затем приехать в отделение банка за картой, когда её изготовят, где она мне будет выдана, её счёт привяжут к сервису ИЗП (индивидуальный зарплатный проект), а мне выдадут заполненное заявление для передачи в бухгалтерию. Оператор отметила, что подключить ИЗП возможно только в рамках определённых тарифов: Твой кешбэк промо, Твой кешбэк, Твой банк, карт программ Твой ПСБ, Мир без границ, Пенсионная, В движении и Для своих. Я спросил о наличии на сайте банка раздела, посвящённого зарплатным картам. Полина предоставила ссылку на отдельную страницу с тарифами зарплатных карт и подчеркнула, что подать заявку на оформление зарплатной карты из представленных на этой странице может работодатель. Также она сообщила, что изготовление зарплатной карты в рамках ИЗП возможно только в виде пластиковой карты. Помимо этого, я уточнил о лимитах по переводам между своими картами и между клиентами ПСБ. Оператор написала, что между своими картами и счетами, а также внутри банка переводы осуществляются без ограничений, а лимит на переводы в другие банки я могу посмотреть по тарифу выпущенной карты в мобильном приложении, нажав на неё на главном экране - ""Тариф и документы"" - ""Тарифы"". Благодаря диалогу с Полиной я узнал алгоритм действий, необходимых для участия в ИЗП, ознакомился с линейкой зарплатных карт ПСБ на сайте банка в случае перевода зарплатного проекта в банк по инициативе работодателя, а также узнал, что внутрибанковские переводы осуществляются без ограничений.",11978963,5,t,f,,,,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
402,Бысто и качественно решили вопрос в чате,"В мобильном приложении банка появился баннер и пропал "" Проведи Новый год с ПСБ"", вклад с бонусом,меня очень заинтересовало данное предложение, но информации не нашёл в мобильном приложении банка и так же на сайте банка. Обратился в официальное сообщество соцсети с вопросом по данной акции и какой бонус можно получить. Буквально сразу, мне ответил специалист банка в 19:19(29 ноября 2024), который очень подробно пояснил, что необходимо открыть вклад ""Мой подарок"" ( открывается в рамках акции), за участие можно получить до 3000 баллов ( 1 балл =1 руб), так же скинул условия порядка участия в акции, порядок получения подарка, сроки и пояснил, что сумма вознаграждения зависит от суммы размещения денежных средств во вклад. Если, открыть несколько вкладов, то выплачивается вознаграждение, только по одному вкдаду с максимальной суммой размещения. Выражаю благодарность специалисту за подробный ответ на мой вопрос и благодаря специалисту, я стал участником акции. ",11978918,5,t,f,,,,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
